0 420 blocks     4 its      1.250 Fl/B        618 GB/s       772 GF/s   2242 Mhz   124 W   53°C
0 420 blocks   178 its      44.750 Fl/B        430 GB/s     19231 GF/s   1762 Mhz   145 W   80°C

0 420 blocks   194 its      48.750 Fl/B        403 GB/s     19627 GF/s   1785 Mhz   145 W   80°C

0 420 blocks   212 its      53.250 Fl/B        376 GB/s     20047 GF/s   1822 Mhz   145 W   81°C

0 420 blocks   230 its      57.750 Fl/B        351 GB/s     20266 GF/s   1807 Mhz   145 W   81°C

0 420 blocks   250 its      62.750 Fl/B        327 GB/s     20533 GF/s   1830 Mhz   145 W   81°C

0 420 blocks   272 its      68.250 Fl/B        309 GB/s     21098 GF/s   1875 Mhz   145 W   81°C

0 420 blocks   296 its      74.250 Fl/B        288 GB/s     21368 GF/s   1890 Mhz   145 W   81°C

0 420 blocks   322 its      80.750 Fl/B        264 GB/s     21319 GF/s   1890 Mhz   145 W   81°C

0 420 blocks   350 its      87.750 Fl/B        251 GB/s     21994 GF/s   1942 Mhz   145 W   82°C

0 420 blocks   380 its      95.250 Fl/B        234 GB/s     22283 GF/s   1965 Mhz   145 W   82°C

0 420 blocks   412 its      103.250 Fl/B        219 GB/s     22565 GF/s   1972 Mhz   145 W   82°C

0 420 blocks   448 its      112.250 Fl/B        202 GB/s     22671 GF/s   1980 Mhz   145 W   82°C

0 420 blocks   486 its      121.750 Fl/B        190 GB/s     23128 GF/s   2010 Mhz   145 W   82°C

0 420 blocks   528 its      132.250 Fl/B        178 GB/s     23486 GF/s   2040 Mhz   145 W   82°C

0 420 blocks   574 its      143.750 Fl/B        167 GB/s     23993 GF/s   2085 Mhz   145 W   82°C

0 420 blocks   622 its      155.750 Fl/B        157 GB/s     24466 GF/s   2107 Mhz   145 W   82°C

0 420 blocks   674 its      168.750 Fl/B        147 GB/s     24810 GF/s   2137 Mhz   145 W   82°C

0 420 blocks   732 its      183.250 Fl/B        138 GB/s     25207 GF/s   2160 Mhz   145 W   82°C

0 420 blocks   794 its      198.750 Fl/B        129 GB/s     25581 GF/s   2190 Mhz   145 W   82°C

0 420 blocks   862 its      215.750 Fl/B        120 GB/s     25876 GF/s   2212 Mhz   145 W   82°C

0 420 blocks   934 its      233.750 Fl/B        111 GB/s     25924 GF/s   2220 Mhz   145 W   82°C

0 420 blocks   1012 its      253.250 Fl/B        103 GB/s     26122 GF/s   2227 Mhz   145 W   82°C

