0 420 blocks     4 its      1.250 Fl/B        618 GB/s       772 GF/s   2092 Mhz   116 W   51°C
0 420 blocks   674 its      168.750 Fl/B        145 GB/s     24409 GF/s   2092 Mhz   143 W   82°C

0 420 blocks   732 its      183.250 Fl/B        133 GB/s     24387 GF/s   2092 Mhz   140 W   81°C

0 420 blocks   794 its      198.750 Fl/B        123 GB/s     24469 GF/s   2092 Mhz   138 W   81°C

0 420 blocks   862 its      215.750 Fl/B        114 GB/s     24505 GF/s   2092 Mhz   136 W   80°C

0 420 blocks   934 its      233.750 Fl/B        105 GB/s     24577 GF/s   2092 Mhz   135 W   79°C

0 420 blocks   1012 its      253.250 Fl/B         97 GB/s     24589 GF/s   2092 Mhz   133 W   79°C

