0 492 blocks     4 its      1.250 Fl/B        769 GB/s       961 GF/s   1792 Mhz   120 W   39°C
1 492 blocks     4 its      1.250 Fl/B        823 GB/s      1029 GF/s   2805 Mhz   177 W   48°C

0 492 blocks     6 its      1.750 Fl/B        769 GB/s      1345 GF/s   1792 Mhz   121 W   40°C
1 492 blocks     6 its      1.750 Fl/B        823 GB/s      1440 GF/s   2805 Mhz   178 W   51°C

0 492 blocks     8 its      2.250 Fl/B        768 GB/s      1728 GF/s   1792 Mhz   122 W   41°C
1 492 blocks     8 its      2.250 Fl/B        822 GB/s      1850 GF/s   2805 Mhz   180 W   53°C

0 492 blocks    10 its      2.750 Fl/B        761 GB/s      2094 GF/s   1792 Mhz   123 W   42°C
1 492 blocks    10 its      2.750 Fl/B        824 GB/s      2267 GF/s   2797 Mhz   183 W   55°C

0 492 blocks    12 its      3.250 Fl/B        761 GB/s      2473 GF/s   1792 Mhz   123 W   44°C
1 492 blocks    12 its      3.250 Fl/B        824 GB/s      2677 GF/s   2797 Mhz   184 W   57°C

0 492 blocks    14 its      3.750 Fl/B        761 GB/s      2855 GF/s   1785 Mhz   123 W   45°C
1 492 blocks    14 its      3.750 Fl/B        824 GB/s      3092 GF/s   2797 Mhz   186 W   58°C

0 492 blocks    16 its      4.250 Fl/B        763 GB/s      3242 GF/s   1785 Mhz   124 W   46°C
1 492 blocks    16 its      4.250 Fl/B        824 GB/s      3504 GF/s   2797 Mhz   187 W   60°C

0 492 blocks    18 its      4.750 Fl/B        763 GB/s      3624 GF/s   1785 Mhz   125 W   46°C
1 492 blocks    18 its      4.750 Fl/B        826 GB/s      3922 GF/s   2797 Mhz   189 W   62°C

0 492 blocks    20 its      5.250 Fl/B        763 GB/s      4005 GF/s   1785 Mhz   125 W   47°C
1 492 blocks    20 its      5.250 Fl/B        826 GB/s      4334 GF/s   2797 Mhz   191 W   63°C

0 492 blocks    22 its      5.750 Fl/B        734 GB/s      4223 GF/s   1785 Mhz   124 W   48°C
1 492 blocks    22 its      5.750 Fl/B        825 GB/s      4745 GF/s   2782 Mhz   194 W   65°C

0 492 blocks    24 its      6.250 Fl/B        735 GB/s      4594 GF/s   1785 Mhz   125 W   49°C
1 492 blocks    24 its      6.250 Fl/B        826 GB/s      5164 GF/s   2782 Mhz   195 W   66°C

0 492 blocks    28 its      7.250 Fl/B        736 GB/s      5338 GF/s   1785 Mhz   127 W   50°C
1 492 blocks    28 its      7.250 Fl/B        826 GB/s      5990 GF/s   2782 Mhz   200 W   68°C

0 492 blocks    32 its      8.250 Fl/B        739 GB/s      6099 GF/s   1785 Mhz   128 W   51°C
1 492 blocks    32 its      8.250 Fl/B        826 GB/s      6815 GF/s   2767 Mhz   200 W   69°C

0 492 blocks    40 its      10.250 Fl/B        743 GB/s      7615 GF/s   1792 Mhz   130 W   52°C
1 492 blocks    40 its      10.250 Fl/B        825 GB/s      8454 GF/s   2737 Mhz   200 W   70°C

0 492 blocks    44 its      11.250 Fl/B        744 GB/s      8375 GF/s   1792 Mhz   132 W   53°C
1 492 blocks    44 its      11.250 Fl/B        826 GB/s      9294 GF/s   2715 Mhz   200 W   71°C

0 492 blocks    48 its      12.250 Fl/B        746 GB/s      9133 GF/s   1792 Mhz   134 W   54°C
1 492 blocks    48 its      12.250 Fl/B        823 GB/s     10082 GF/s   2677 Mhz   200 W   71°C

0 492 blocks    54 its      13.750 Fl/B        747 GB/s     10269 GF/s   1792 Mhz   136 W   55°C
1 492 blocks    54 its      13.750 Fl/B        825 GB/s     11345 GF/s   2640 Mhz   200 W   72°C

