0 492 blocks     4 its      1.250 Fl/B        824 GB/s      1030 GF/s   2692 Mhz   174 W   46°C
1 492 blocks     4 its      1.250 Fl/B        824 GB/s      1030 GF/s   2805 Mhz   177 W   48°C

0 492 blocks     6 its      1.750 Fl/B        824 GB/s      1442 GF/s   2692 Mhz   178 W   48°C
1 492 blocks     6 its      1.750 Fl/B        823 GB/s      1440 GF/s   2805 Mhz   179 W   50°C

0 492 blocks     8 its      2.250 Fl/B        824 GB/s      1853 GF/s   2692 Mhz   180 W   50°C
1 492 blocks     8 its      2.250 Fl/B        822 GB/s      1850 GF/s   2805 Mhz   181 W   53°C

0 492 blocks    10 its      2.750 Fl/B        825 GB/s      2268 GF/s   2692 Mhz   182 W   53°C
1 492 blocks    10 its      2.750 Fl/B        825 GB/s      2270 GF/s   2797 Mhz   184 W   55°C

0 492 blocks    12 its      3.250 Fl/B        825 GB/s      2682 GF/s   2692 Mhz   183 W   54°C
1 492 blocks    12 its      3.250 Fl/B        826 GB/s      2683 GF/s   2797 Mhz   185 W   57°C

0 492 blocks    14 its      3.750 Fl/B        825 GB/s      3094 GF/s   2692 Mhz   185 W   56°C
1 492 blocks    14 its      3.750 Fl/B        825 GB/s      3095 GF/s   2797 Mhz   186 W   59°C

0 492 blocks    16 its      4.250 Fl/B        825 GB/s      3506 GF/s   2692 Mhz   187 W   58°C
1 492 blocks    16 its      4.250 Fl/B        826 GB/s      3509 GF/s   2797 Mhz   188 W   60°C

0 492 blocks    18 its      4.750 Fl/B        825 GB/s      3918 GF/s   2692 Mhz   189 W   59°C
1 492 blocks    18 its      4.750 Fl/B        826 GB/s      3922 GF/s   2797 Mhz   190 W   62°C

0 492 blocks    20 its      5.250 Fl/B        825 GB/s      4330 GF/s   2692 Mhz   190 W   61°C
1 492 blocks    20 its      5.250 Fl/B        826 GB/s      4335 GF/s   2782 Mhz   192 W   64°C

0 492 blocks    22 its      5.750 Fl/B        826 GB/s      4751 GF/s   2692 Mhz   194 W   63°C
1 492 blocks    22 its      5.750 Fl/B        827 GB/s      4753 GF/s   2782 Mhz   195 W   66°C

0 492 blocks    24 its      6.250 Fl/B        826 GB/s      5164 GF/s   2692 Mhz   196 W   64°C
1 492 blocks    24 its      6.250 Fl/B        827 GB/s      5167 GF/s   2782 Mhz   197 W   67°C

0 492 blocks    28 its      7.250 Fl/B        826 GB/s      5990 GF/s   2692 Mhz   197 W   65°C
1 492 blocks    28 its      7.250 Fl/B        827 GB/s      5993 GF/s   2775 Mhz   200 W   69°C

0 492 blocks    32 its      8.250 Fl/B        826 GB/s      6815 GF/s   2692 Mhz   201 W   67°C
1 492 blocks    32 its      8.250 Fl/B        827 GB/s      6820 GF/s   2760 Mhz   200 W   70°C

0 492 blocks    36 its      9.250 Fl/B        826 GB/s      7640 GF/s   2670 Mhz   200 W   68°C
1 492 blocks    36 its      9.250 Fl/B        826 GB/s      7645 GF/s   2745 Mhz   200 W   71°C

0 492 blocks    40 its      10.250 Fl/B        826 GB/s      8465 GF/s   2640 Mhz   200 W   69°C
1 492 blocks    40 its      10.250 Fl/B        826 GB/s      8470 GF/s   2715 Mhz   200 W   72°C

0 492 blocks    44 its      11.250 Fl/B        826 GB/s      9290 GF/s   2617 Mhz   200 W   69°C
1 492 blocks    44 its      11.250 Fl/B        826 GB/s      9295 GF/s   2692 Mhz   200 W   72°C

0 492 blocks    48 its      12.250 Fl/B        826 GB/s     10113 GF/s   2602 Mhz   200 W   70°C
1 492 blocks    48 its      12.250 Fl/B        826 GB/s     10120 GF/s   2647 Mhz   200 W   73°C

0 492 blocks    54 its      13.750 Fl/B        825 GB/s     11347 GF/s   2565 Mhz   200 W   71°C
1 492 blocks    54 its      13.750 Fl/B        826 GB/s     11355 GF/s   2625 Mhz   200 W   74°C

0 492 blocks    60 its      15.250 Fl/B        825 GB/s     12579 GF/s   2535 Mhz   200 W   72°C
1 492 blocks    60 its      15.250 Fl/B        825 GB/s     12588 GF/s   2595 Mhz   200 W   74°C

0 492 blocks    66 its      16.750 Fl/B        824 GB/s     13804 GF/s   2512 Mhz   200 W   72°C
1 492 blocks    66 its      16.750 Fl/B        825 GB/s     13819 GF/s   2565 Mhz   200 W   75°C

0 492 blocks    72 its      18.250 Fl/B        823 GB/s     15023 GF/s   2475 Mhz   200 W   73°C
1 492 blocks    72 its      18.250 Fl/B        824 GB/s     15043 GF/s   2542 Mhz   200 W   75°C

0 492 blocks    88 its      22.250 Fl/B        820 GB/s     18236 GF/s   2415 Mhz   200 W   73°C
1 492 blocks    88 its      22.250 Fl/B        822 GB/s     18291 GF/s   2482 Mhz   200 W   76°C

0 492 blocks    96 its      24.250 Fl/B        817 GB/s     19819 GF/s   2385 Mhz   200 W   74°C
1 492 blocks    96 its      24.250 Fl/B        820 GB/s     19893 GF/s   2445 Mhz   200 W   76°C

0 492 blocks   106 its      26.750 Fl/B        811 GB/s     21686 GF/s   2310 Mhz   200 W   74°C
1 492 blocks   106 its      26.750 Fl/B        814 GB/s     21783 GF/s   2385 Mhz   200 W   76°C

0 492 blocks   116 its      29.250 Fl/B        805 GB/s     23540 GF/s   2235 Mhz   200 W   75°C
1 492 blocks   116 its      29.250 Fl/B        809 GB/s     23663 GF/s   2347 Mhz   200 W   77°C

0 492 blocks   126 its      31.750 Fl/B        795 GB/s     25250 GF/s   2182 Mhz   200 W   75°C
1 492 blocks   126 its      31.750 Fl/B        802 GB/s     25450 GF/s   2295 Mhz   200 W   77°C

0 492 blocks   138 its      34.750 Fl/B        758 GB/s     26352 GF/s   2182 Mhz   200 W   75°C
1 492 blocks   138 its      34.750 Fl/B        780 GB/s     27099 GF/s   2257 Mhz   200 W   77°C

0 492 blocks   164 its      41.250 Fl/B        667 GB/s     27530 GF/s   2227 Mhz   200 W   76°C
1 492 blocks   164 its      41.250 Fl/B        691 GB/s     28495 GF/s   2310 Mhz   200 W   78°C

0 492 blocks   322 its      80.750 Fl/B        392 GB/s     31682 GF/s   2422 Mhz   200 W   78°C
1 492 blocks   322 its      80.750 Fl/B        399 GB/s     32231 GF/s   2467 Mhz   200 W   80°C

0 492 blocks   380 its      95.250 Fl/B        340 GB/s     32396 GF/s   2460 Mhz   200 W   79°C
1 492 blocks   380 its      95.250 Fl/B        346 GB/s     33003 GF/s   2505 Mhz   200 W   81°C

0 492 blocks   412 its      103.250 Fl/B        316 GB/s     32673 GF/s   2460 Mhz   200 W   80°C
1 492 blocks   412 its      103.250 Fl/B        322 GB/s     33248 GF/s   2505 Mhz   200 W   82°C

0 492 blocks   448 its      112.250 Fl/B        292 GB/s     32762 GF/s   2467 Mhz   200 W   81°C
1 492 blocks   448 its      112.250 Fl/B        297 GB/s     33362 GF/s   2512 Mhz   200 W   82°C

0 492 blocks   528 its      132.250 Fl/B        252 GB/s     33364 GF/s   2482 Mhz   200 W   82°C
1 492 blocks   528 its      132.250 Fl/B        257 GB/s     33930 GF/s   2520 Mhz   200 W   83°C

0 492 blocks   574 its      143.750 Fl/B        235 GB/s     33786 GF/s   2512 Mhz   200 W   82°C
1 492 blocks   574 its      143.750 Fl/B        238 GB/s     34256 GF/s   2550 Mhz   200 W   83°C

0 492 blocks   622 its      155.750 Fl/B        218 GB/s     34017 GF/s   2520 Mhz   200 W   83°C
1 492 blocks   622 its      155.750 Fl/B        222 GB/s     34568 GF/s   2565 Mhz   200 W   84°C

0 492 blocks   674 its      168.750 Fl/B        201 GB/s     33987 GF/s   2527 Mhz   200 W   83°C
1 492 blocks   674 its      168.750 Fl/B        205 GB/s     34586 GF/s   2557 Mhz   200 W   84°C

0 492 blocks   732 its      183.250 Fl/B        188 GB/s     34393 GF/s   2527 Mhz   200 W   83°C
1 492 blocks   732 its      183.250 Fl/B        190 GB/s     34845 GF/s   2565 Mhz   200 W   84°C

0 492 blocks   862 its      215.750 Fl/B        161 GB/s     34657 GF/s   2550 Mhz   200 W   84°C
1 492 blocks   862 its      215.750 Fl/B        163 GB/s     35213 GF/s   2580 Mhz   200 W   85°C

0 492 blocks   1012 its      253.250 Fl/B        138 GB/s     35030 GF/s   2565 Mhz   200 W   84°C
1 492 blocks   1012 its      253.250 Fl/B        140 GB/s     35574 GF/s   2595 Mhz   200 W   85°C

