0 492 blocks     4 its      1.250 Fl/B        428 GB/s       535 GF/s   570 Mhz   83 W   38°C
1 492 blocks     4 its      1.250 Fl/B        824 GB/s      1030 GF/s   2805 Mhz   177 W   49°C

0 492 blocks     8 its      2.250 Fl/B        429 GB/s       964 GF/s   570 Mhz   84 W   40°C
1 492 blocks     8 its      2.250 Fl/B        822 GB/s      1850 GF/s   2805 Mhz   180 W   52°C

0 492 blocks    10 its      2.750 Fl/B        426 GB/s      1171 GF/s   570 Mhz   84 W   41°C
1 492 blocks    10 its      2.750 Fl/B        825 GB/s      2270 GF/s   2797 Mhz   182 W   54°C

0 492 blocks    12 its      3.250 Fl/B        426 GB/s      1383 GF/s   570 Mhz   84 W   42°C
1 492 blocks    12 its      3.250 Fl/B        826 GB/s      2683 GF/s   2797 Mhz   183 W   55°C

0 492 blocks    18 its      4.750 Fl/B        426 GB/s      2024 GF/s   570 Mhz   85 W   43°C
1 492 blocks    18 its      4.750 Fl/B        826 GB/s      3922 GF/s   2797 Mhz   188 W   59°C

0 492 blocks    22 its      5.750 Fl/B        413 GB/s      2373 GF/s   570 Mhz   84 W   44°C
1 492 blocks    22 its      5.750 Fl/B        827 GB/s      4753 GF/s   2797 Mhz   192 W   61°C

0 492 blocks    24 its      6.250 Fl/B        414 GB/s      2585 GF/s   570 Mhz   85 W   45°C
1 492 blocks    24 its      6.250 Fl/B        827 GB/s      5167 GF/s   2797 Mhz   193 W   62°C

0 492 blocks    28 its      7.250 Fl/B        415 GB/s      3006 GF/s   570 Mhz   86 W   46°C
1 492 blocks    28 its      7.250 Fl/B        826 GB/s      5991 GF/s   2782 Mhz   195 W   63°C

0 492 blocks    32 its      8.250 Fl/B        415 GB/s      3425 GF/s   570 Mhz   87 W   47°C
1 492 blocks    32 its      8.250 Fl/B        826 GB/s      6815 GF/s   2782 Mhz   199 W   64°C

0 492 blocks    36 its      9.250 Fl/B        415 GB/s      3840 GF/s   570 Mhz   87 W   47°C
1 492 blocks    36 its      9.250 Fl/B        826 GB/s      7645 GF/s   2775 Mhz   200 W   65°C

0 492 blocks    40 its      10.250 Fl/B        415 GB/s      4252 GF/s   570 Mhz   88 W   48°C
1 492 blocks    40 its      10.250 Fl/B        826 GB/s      8471 GF/s   2752 Mhz   200 W   66°C

0 492 blocks    48 its      12.250 Fl/B        413 GB/s      5065 GF/s   570 Mhz   90 W   48°C
1 492 blocks    48 its      12.250 Fl/B        825 GB/s     10111 GF/s   2722 Mhz   200 W   67°C

0 492 blocks    66 its      16.750 Fl/B        401 GB/s      6717 GF/s   570 Mhz   91 W   49°C
1 492 blocks    66 its      16.750 Fl/B        824 GB/s     13805 GF/s   2625 Mhz   200 W   68°C

0 492 blocks    72 its      18.250 Fl/B        385 GB/s      7023 GF/s   0 Mhz   91 W   50°C
1 492 blocks    72 its      18.250 Fl/B        823 GB/s     15013 GF/s   2602 Mhz   200 W   68°C

0 492 blocks    88 its      22.250 Fl/B        323 GB/s      7186 GF/s   570 Mhz   86 W   50°C
1 492 blocks    88 its      22.250 Fl/B        823 GB/s     18308 GF/s   2535 Mhz   200 W   69°C

0 492 blocks    96 its      24.250 Fl/B        300 GB/s      7265 GF/s   577 Mhz   84 W   50°C
1 492 blocks    96 its      24.250 Fl/B        821 GB/s     19915 GF/s   2505 Mhz   200 W   68°C

0 492 blocks   106 its      26.750 Fl/B        264 GB/s      7061 GF/s   577 Mhz   80 W   50°C
1 492 blocks   106 its      26.750 Fl/B        815 GB/s     21808 GF/s   2445 Mhz   200 W   67°C

0 492 blocks   116 its      29.250 Fl/B        245 GB/s      7152 GF/s   577 Mhz   78 W   51°C
1 492 blocks   116 its      29.250 Fl/B        811 GB/s     23722 GF/s   2415 Mhz   200 W   67°C

0 492 blocks   138 its      34.750 Fl/B        208 GB/s      7219 GF/s   577 Mhz   76 W   50°C
1 492 blocks   138 its      34.750 Fl/B        791 GB/s     27485 GF/s   2332 Mhz   200 W   67°C

0 492 blocks   150 its      37.750 Fl/B        192 GB/s      7255 GF/s   577 Mhz   75 W   50°C
1 492 blocks   150 its      37.750 Fl/B        755 GB/s     28495 GF/s   2347 Mhz   200 W   66°C

0 492 blocks   164 its      41.250 Fl/B        176 GB/s      7263 GF/s   577 Mhz   74 W   50°C
1 492 blocks   164 its      41.250 Fl/B        708 GB/s     29207 GF/s   2370 Mhz   200 W   66°C

0 492 blocks   178 its      44.750 Fl/B        163 GB/s      7295 GF/s   577 Mhz   72 W   50°C
1 492 blocks   178 its      44.750 Fl/B        665 GB/s     29771 GF/s   2400 Mhz   200 W   65°C

0 492 blocks   194 its      48.750 Fl/B        151 GB/s      7365 GF/s   577 Mhz   70 W   50°C
1 492 blocks   194 its      48.750 Fl/B        621 GB/s     30298 GF/s   2430 Mhz   200 W   65°C

0 492 blocks   212 its      53.250 Fl/B        141 GB/s      7512 GF/s   577 Mhz   70 W   49°C
1 492 blocks   212 its      53.250 Fl/B        579 GB/s     30819 GF/s   2445 Mhz   200 W   65°C

